id,genres,imdbRating,weighting
5bc6864e15307d543319bb4f,Documentary,7.6,11.6
5bc6864e15307d543319bb50,Documentary*Biography*War,8.1,15.1
5bc6864e15307d543319bb51,Crime*Drama,7.1,28.1
5bc6864e15307d543319bb52,Comedy*Romance,4.9,20.9
5bc6864f15307d543319bb53,Comedy,4.8,15.8
5bc6864f15307d543319bb54,Comedy*Romance,6.2,22.2
5bc6864f15307d543319bb55,Adventure*Comedy*Drama,5.4,36.4
5bc6864f15307d543319bb56,Drama,7.7,23.7
5bc6864f15307d543319bb57,Comedy*Drama*Romance,5.4,37.4
5bc6865015307d543319bb58,Crime*Drama*Romance,8.1,34.1
5bc6865015307d543319bb59,Documentary,7.4,11.4
5bc6865015307d543319bb5a,Drama*Romance,7.4,28.4
5bc6865015307d543319bb5b,Comedy,6.8,17.8
5bc6865015307d543319bb5c,Adventure*Comedy*Family,3.2,20.2
5bc6865115307d543319bb5d,Drama,7.4,23.4
5bc6865115307d543319bb5e,Documentary*Biography*Mystery,7.2,15.2
5bc6865115307d543319bb5f,Documentary,7,11.0
5bc6865115307d543319bb60,Comedy*Crime*Drama,7.6,39.6
5bc6865115307d543319bb61,Drama,6.4,22.4
5bc6865115307d543319bb62,Documentary,6.7,10.7
5bc6865115307d543319bb63,Drama*Romance*War,6.7,28.7
5bc6865215307d543319bb64,Crime*Drama*Thriller,5.2,31.2
5bc6865215307d543319bb65,Comedy*Drama,7.1,34.1
5bc6865215307d543319bb66,Documentary,7.3,11.3
5bc6865215307d543319bb67,Documentary*History,7,13.0
5bc6865215307d543319bb68,Comedy,6.1,17.1
5bc6865315307d543319bb69,Documentary*Biography,7.1,13.1
5bc6865315307d543319bb6a,Comedy*Drama*Romance,6.2,38.2
5bc6865315307d543319bb6b,Drama,6.2,22.2
5bc6865315307d543319bb6c,Family*Sci-Fi,6.1,10.1
5bc6865315307d543319bb6d,Action*Adventure*Crime,6,20.0
5bc6865415307d543319bb6e,Talk-Show,None,6
5bc6865415307d543319bb6f,Comedy,7,18.0
5bc6865415307d543319bb70,Drama,6.3,22.3
5bc6865415307d543319bb71,Drama,5,21.0
5bc6865415307d543319bb72,Comedy*Drama,6.5,33.5
5bc6865515307d543319bb73,Comedy*Drama*Romance,6.6,38.6
5bc6865515307d543319bb74,Action*Comedy*Crime,6.8,27.8
5bc6865515307d543319bb75,Family*Adventure*Drama,5.8,27.8
5bc6865515307d543319bb76,Biography*Crime*Drama,7.3,30.3
